Iteration	Loss (h)	Total Cost (f)	Cost g
1	0.8307448029518127	0.8307448029518127	0
2	0.6606082320213318	0.49047166109085083	-0.17013657093048096
3	0.5191797018051147	0.20761460065841675	-0.311565101146698
4	0.44089174270629883	0.05103868246078491	-0.3898530602455139
5	0.4310356378555298	0.031326472759246826	-0.39970916509628296
6	0.4290542006492615	0.027363598346710205	-0.40169060230255127
7	0.4280991554260254	0.025453507900238037	-0.40264564752578735
8	0.427255779504776	0.023766756057739258	-0.40348902344703674
9	0.42600420117378235	0.021263599395751953	-0.4047406017780304
10	0.4246528744697571	0.018560945987701416	-0.40609192848205566
11	0.42369338870048523	0.016641974449157715	-0.4070514142513275
12	0.42320722341537476	0.015669643878936768	-0.407537579536438
13	0.42175400257110596	0.01276320219039917	-0.4089908003807068
14	0.42118731141090393	0.011629819869995117	-0.4095574915409088
15	0.42078539729118347	0.0108259916305542	-0.4099594056606293
16	0.42035871744155884	0.009972631931304932	-0.4103860855102539
17	0.41994571685791016	0.009146630764007568	-0.4107990860939026
18	0.4195840656757355	0.008423328399658203	-0.41116073727607727
19	0.41920700669288635	0.007669210433959961	-0.4115377962589264
20	0.4187963306903839	0.006847858428955078	-0.41194847226142883
21	0.4184732437133789	0.006201684474945068	-0.41227155923843384
22	0.41805604100227356	0.005367279052734375	-0.4126887619495392
23	0.417683482170105	0.004622161388397217	-0.41306132078170776
24	0.4173631966114044	0.003981590270996094	-0.4133816063404083
25	0.4169416129589081	0.003138422966003418	-0.41380318999290466
26	0.4166076183319092	0.0024704337120056152	-0.41413718461990356
27	0.4162476062774658	0.0017504096031188965	-0.4144971966743469
28	0.4158642888069153	0.0009837746620178223	-0.41488051414489746
29	0.41556912660598755	0.0003934502601623535	-0.4151756763458252
30	0.41514262557029724	-0.0004595518112182617	-0.4156021773815155
31	0.4142942726612091	-0.0021562576293945312	-0.41645053029060364
32	0.41362035274505615	-0.0035040974617004395	-0.4171244502067566
33	0.4129614233970642	-0.004821956157684326	-0.41778337955474854
34	0.41218844056129456	-0.006367921829223633	-0.4185563623905182
35	0.41141819953918457	-0.007908403873443604	-0.4193266034126282
36	0.41069287061691284	-0.00935906171798706	-0.4200519323348999
37	0.410011351108551	-0.010722100734710693	-0.4207334518432617
38	0.40937283635139465	-0.011999130249023438	-0.4213719666004181
39	0.40859872102737427	-0.013547360897064209	-0.4221460819244385
40	0.4078526198863983	-0.015039563179016113	-0.42289218306541443
41	0.4071502685546875	-0.016444265842437744	-0.42359453439712524
42	0.40649065375328064	-0.017763495445251465	-0.4242541491985321
43	0.40587303042411804	-0.01899874210357666	-0.4248717725276947
44	0.40525302290916443	-0.020238757133483887	-0.4254917800426483
45	0.4046238958835602	-0.021497011184692383	-0.42612090706825256
46	0.40403297543525696	-0.022678852081298828	-0.4267118275165558
47	0.40339237451553345	-0.02396005392074585	-0.4273524284362793
48	0.40279296040534973	-0.02515888214111328	-0.427951842546463
49	0.40217846632003784	-0.02638787031173706	-0.4285663366317749
50	0.4015676975250244	-0.027609407901763916	-0.42917710542678833
51	0.40098243951797485	-0.028779923915863037	-0.4297623634338379
52	0.400360107421875	-0.030024588108062744	-0.43038469552993774
53	0.39977842569351196	-0.03118795156478882	-0.4309663772583008
54	0.39914023876190186	-0.03246432542800903	-0.4316045641899109
55	0.3984726369380951	-0.03379952907562256	-0.43227216601371765
56	0.39784032106399536	-0.03506416082382202	-0.4329044818878174
57	0.3972426652908325	-0.036259472370147705	-0.4335021376609802
58	0.3966386318206787	-0.03746753931045532	-0.43410617113113403
59	0.3960283100605011	-0.03868818283081055	-0.43471649289131165
60	0.3954520523548126	-0.0398406982421875	-0.4352927505970001
61	0.3948374092578888	-0.041069984436035156	-0.43590739369392395
62	0.39424848556518555	-0.04224783182144165	-0.4364963173866272
63	0.3936697840690613	-0.043405234813690186	-0.43707501888275146
64	0.39306819438934326	-0.04460841417312622	-0.4376766085624695
65	0.3925003707408905	-0.04574406147003174	-0.43824443221092224
66	0.39190956950187683	-0.04692566394805908	-0.4388352334499359
67	0.3913290798664093	-0.04808664321899414	-0.43941572308540344
68	0.39077380299568176	-0.04919719696044922	-0.439970999956131
69	0.3901805579662323	-0.050383687019348145	-0.44056424498558044
70	0.38962069153785706	-0.05150341987609863	-0.4411241114139557
71	0.3890548348426819	-0.052635133266448975	-0.44168996810913086
72	0.38848233222961426	-0.05378013849258423	-0.4422624707221985
73	0.38794249296188354	-0.054859817028045654	-0.4428023099899292
74	0.38736578822135925	-0.05601322650909424	-0.4433790147304535
75	0.3868134021759033	-0.057117998600006104	-0.4439314007759094
76	0.3862711787223816	-0.05820244550704956	-0.44447362422943115
77	0.38570621609687805	-0.05933237075805664	-0.4450385868549347
78	0.3851735293865204	-0.06039774417877197	-0.44557127356529236
79	0.38462069630622864	-0.06150341033935547	-0.4461241066455841
80	0.38407549262046814	-0.06259381771087646	-0.4466693103313446
81	0.3835575580596924	-0.06362968683242798	-0.44718724489212036
82	0.38299980759620667	-0.06474518775939941	-0.4477449953556061
83	0.3824739456176758	-0.06579691171646118	-0.44827085733413696
84	0.3819468319416046	-0.06685113906860352	-0.44879797101020813
85	0.3814084529876709	-0.06792789697647095	-0.44933634996414185
86	0.38090139627456665	-0.06894201040267944	-0.4498434066772461
87	0.38036566972732544	-0.07001346349716187	-0.4503791332244873
88	0.3798461854457855	-0.0710524320602417	-0.4508986175060272
89	0.37934550642967224	-0.07205379009246826	-0.4513992965221405
90	0.37881359457969666	-0.07311761379241943	-0.4519312083721161
91	0.3783125579357147	-0.0741196870803833	-0.452432245016098
92	0.3778036832809448	-0.0751374363899231	-0.4529411196708679
93	0.3772754967212677	-0.07619380950927734	-0.45346930623054504
94	0.37572789192199707	-0.0792890191078186	-0.4550169110298157
95	0.37494540214538574	-0.08085399866104126	-0.455799400806427
96	0.3742581605911255	-0.08222848176956177	-0.45648664236068726
97	0.37366822361946106	-0.08340835571289062	-0.4570765793323517
98	0.3725678324699402	-0.08560913801193237	-0.45817697048187256
99	0.37142810225486755	-0.08788859844207764	-0.4593167006969452
100	0.37045735120773315	-0.08983010053634644	-0.4602874517440796
101	0.36969271302223206	-0.09135937690734863	-0.4610520899295807
102	0.36888858675956726	-0.09296762943267822	-0.4618562161922455
103	0.36757323145866394	-0.09559834003448486	-0.4631715714931488
104	0.3667944669723511	-0.0971558690071106	-0.46395033597946167
105	0.36622658371925354	-0.09829163551330566	-0.4645182192325592
106	0.36567601561546326	-0.09939277172088623	-0.4650687873363495
107	0.3651157319545746	-0.10051333904266357	-0.46562907099723816
108	0.36431875824928284	-0.10210728645324707	-0.4664260447025299
109	0.3635273873806	-0.10369002819061279	-0.46721741557121277
110	0.36224350333213806	-0.10625779628753662	-0.4685012996196747
111	0.361420214176178	-0.10790437459945679	-0.46932458877563477
112	0.36079731583595276	-0.10915017127990723	-0.46994748711586
113	0.3601851463317871	-0.11037451028823853	-0.47055965662002563
114	0.35960033535957336	-0.11154413223266602	-0.4711444675922394
115	0.35904231667518616	-0.11266016960144043	-0.4717024862766266
116	0.35849881172180176	-0.11374717950820923	-0.472245991230011
117	0.3579346239566803	-0.11487555503845215	-0.47281017899513245
118	0.3573966324329376	-0.1159515380859375	-0.4733481705188751
119	0.35688427090644836	-0.11697626113891602	-0.4738605320453644
120	0.3563562035560608	-0.11803239583969116	-0.47438859939575195
121	0.35581251978874207	-0.11911976337432861	-0.4749322831630707
122	0.35529443621635437	-0.120155930519104	-0.4754503667354584
123	0.3547813296318054	-0.1211821436882019	-0.4759634733200073
124	0.35425707697868347	-0.1222306489944458	-0.4764877259731293
125	0.3537580668926239	-0.12322866916656494	-0.47698673605918884
126	0.35322409868240356	-0.12429660558700562	-0.4775207042694092
127	0.35254111886024475	-0.12566256523132324	-0.478203684091568
128	0.3519766926765442	-0.12679141759872437	-0.47876811027526855
129	0.35143420100212097	-0.1278764009475708	-0.4793106019496918
130	0.3508637249469757	-0.12901735305786133	-0.47988107800483704
131	0.35031867027282715	-0.13010746240615845	-0.4804261326789856
132	0.3497985005378723	-0.13114780187606812	-0.48094630241394043
133	0.3493029773235321	-0.13213884830474854	-0.48144182562828064
134	0.3487924337387085	-0.13315993547439575	-0.48195236921310425
135	0.3482140600681305	-0.13431668281555176	-0.48253074288368225
136	0.34707528352737427	-0.1365942358970642	-0.4836695194244385
137	0.34610286355018616	-0.13853907585144043	-0.4846419394016266
138	0.34528878331184387	-0.140167236328125	-0.48545601963996887
139	0.34462970495224	-0.14148539304733276	-0.48611509799957275
140	0.3441128730773926	-0.1425190567970276	-0.48663192987442017
141	0.34360605478286743	-0.14353269338607788	-0.4871387481689453
142	0.3431234061717987	-0.14449799060821533	-0.48762139678001404
143	0.34266436100006104	-0.14541608095169067	-0.4880804419517517
144	0.3421878218650818	-0.14636915922164917	-0.48855698108673096
145	0.34172260761260986	-0.14729958772659302	-0.4890221953392029
146	0.34126630425453186	-0.14821219444274902	-0.4894784986972809
147	0.34077128767967224	-0.14920222759246826	-0.4899735152721405
148	0.34029996395111084	-0.15014487504959106	-0.4904448390007019
149	0.33985161781311035	-0.15104156732559204	-0.4908931851387024
150	0.3394111394882202	-0.15192252397537231	-0.49133366346359253
151	0.3389503061771393	-0.15284419059753418	-0.49179449677467346
152	0.33851221203804016	-0.15372037887573242	-0.4922325909137726
153	0.3380744755268097	-0.15459585189819336	-0.49267032742500305
154	0.33763012290000916	-0.15548455715179443	-0.4931146800518036
155	0.3372046649456024	-0.1563354730606079	-0.4935401380062103
156	0.33671191334724426	-0.15732097625732422	-0.4940328896045685
157	0.3361392915248871	-0.15846621990203857	-0.49460551142692566
158	0.335514634847641	-0.15971553325653076	-0.49523016810417175
159	0.3350129723548889	-0.1607188582420349	-0.49573183059692383
160	0.3345666527748108	-0.16161149740219116	-0.49617815017700195
161	0.3341420888900757	-0.16246062517166138	-0.49660271406173706
162	0.3336833417415619	-0.16337811946868896	-0.49706146121025085
163	0.33324694633483887	-0.164250910282135	-0.4974978566169739
164	0.33282044529914856	-0.16510391235351562	-0.4979243576526642
165	0.33237773180007935	-0.16598933935165405	-0.4983670711517334
166	0.33190399408340454	-0.16693681478500366	-0.4988408088684082
167	0.33130377531051636	-0.16813725233078003	-0.4994410276412964
168	0.3305818438529968	-0.1695811152458191	-0.5001629590988159
169	0.329689621925354	-0.17136555910110474	-0.5010551810264587
170	0.3289269208908081	-0.17289096117019653	-0.5018178820610046
171	0.32829076051712036	-0.17416328191757202	-0.5024540424346924
172	0.32779762148857117	-0.1751495599746704	-0.5029471814632416
173	0.3273452818393707	-0.1760542392730713	-0.503399521112442
174	0.32691484689712524	-0.17691510915756226	-0.5038299560546875
175	0.3265058398246765	-0.17773312330245972	-0.5042389631271362
176	0.3261105418205261	-0.1785237193107605	-0.5046342611312866
177	0.32568925619125366	-0.17936629056930542	-0.5050555467605591
178	0.3252890110015869	-0.18016678094863892	-0.5054557919502258
179	0.32490935921669006	-0.18092608451843262	-0.5058354437351227
180	0.3244996964931488	-0.18174540996551514	-0.5062451064586639
181	0.3241080343723297	-0.18252873420715332	-0.506636768579483
182	0.32373660802841187	-0.183271586894989	-0.5070081949234009
183	0.3233466148376465	-0.18405157327651978	-0.5073981881141663
184	0.3229632079601288	-0.18481838703155518	-0.507781594991684
185	0.3225996792316437	-0.1855454444885254	-0.5081451237201691
186	0.3222283124923706	-0.18628817796707153	-0.5085164904594421
187	0.32185277342796326	-0.18703925609588623	-0.5088920295238495
188	0.3214968144893646	-0.1877511739730835	-0.5092479884624481
