
Training Data Shape: torch.Size([100, 1]), torch.Size([100, 1])

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (16, 16) ---

Iteration 2: New best loss = 0.4190243184566498
Iteration 3: New best loss = 0.3808906078338623
Iteration 4: New best loss = 0.3627568781375885
Iteration 5: New best loss = 0.32982325553894043
Iteration 6: New best loss = 0.30242905020713806
Iteration 7: New best loss = 0.28718504309654236
Iteration 8: New best loss = 0.265669584274292
Iteration 9: New best loss = 0.25134649872779846
Iteration 10: New best loss = 0.23570993542671204
Iteration 11: New best loss = 0.22394658625125885
Iteration 12: New best loss = 0.2138911634683609
Iteration 13: New best loss = 0.2040599286556244
Iteration 14: New best loss = 0.19985567033290863
Iteration 15: New best loss = 0.19321270287036896
Iteration 16: New best loss = 0.18524070084095
Iteration 17: New best loss = 0.181824192404747
Iteration 18: New best loss = 0.17768791317939758
Iteration 19: New best loss = 0.1759321391582489
Iteration 20: New best loss = 0.17403417825698853
Iteration 21: New best loss = 0.17168909311294556
Iteration 22: New best loss = 0.16989780962467194
Iteration 23: New best loss = 0.1676614135503769
Iteration 24: New best loss = 0.16555753350257874
Iteration 25: New best loss = 0.1638697236776352
Iteration 26: New best loss = 0.16142874956130981
Iteration 27: New best loss = 0.15905357897281647
Iteration 28: New best loss = 0.1575426161289215
Iteration 29: New best loss = 0.15555424988269806
Iteration 30: New best loss = 0.15382909774780273
Iteration 31: New best loss = 0.1525442749261856
Iteration 32: New best loss = 0.15144063532352448
Iteration 33: New best loss = 0.15026740729808807
Iteration 34: New best loss = 0.1480696052312851
Iteration 35: New best loss = 0.14693309366703033
Iteration 36: New best loss = 0.1458260416984558
Iteration 37: New best loss = 0.14450472593307495
Iteration 38: New best loss = 0.14320725202560425
Iteration 39: New best loss = 0.14196044206619263
Iteration 40: New best loss = 0.14076432585716248
Iteration 41: New best loss = 0.1396188884973526
Iteration 42: New best loss = 0.13824540376663208
Iteration 43: New best loss = 0.136467844247818
Iteration 44: New best loss = 0.13501213490962982
Iteration 45: New best loss = 0.1336442232131958
Iteration 46: New best loss = 0.13236412405967712
Iteration 47: New best loss = 0.1311718076467514
Iteration 48: New best loss = 0.13006728887557983
Iteration 49: New best loss = 0.12898316979408264
Iteration 50: New best loss = 0.12376407533884048
Iteration 51: New best loss = 0.12104017287492752
Iteration 52: New best loss = 0.1189761757850647
Iteration 53: New best loss = 0.11718162894248962
Iteration 54: New best loss = 0.1155150830745697
Iteration 55: New best loss = 0.11397651582956314
Iteration 56: New best loss = 0.11256593465805054
Iteration 57: New best loss = 0.11061419546604156
Iteration 58: New best loss = 0.10856810212135315
Iteration 59: New best loss = 0.10696578770875931
Iteration 60: New best loss = 0.10553707927465439
Iteration 61: New best loss = 0.10428199917078018
Iteration 62: New best loss = 0.1026703417301178
Iteration 63: New best loss = 0.09702284634113312
Iteration 64: New best loss = 0.09415431320667267
Iteration 65: New best loss = 0.0917431190609932
Iteration 66: New best loss = 0.08986708521842957
Iteration 67: New best loss = 0.08778324723243713
Iteration 68: New best loss = 0.08591490983963013
Iteration 69: New best loss = 0.084259532392025
Iteration 70: New best loss = 0.08281714469194412
Iteration 71: New best loss = 0.08158774673938751
Iteration 72: New best loss = 0.07956841588020325
Iteration 73: New best loss = 0.07715646177530289
Iteration 74: New best loss = 0.07221214473247528
Iteration 75: New best loss = 0.0704902783036232
Iteration 76: New best loss = 0.06879505515098572
Iteration 77: New best loss = 0.06704084575176239
Iteration 78: New best loss = 0.06549962610006332
Iteration 79: New best loss = 0.06417138874530792
Iteration 80: New best loss = 0.06293097138404846
Iteration 81: New best loss = 0.0609331950545311
Iteration 82: New best loss = 0.05937542766332626
Iteration 83: New best loss = 0.058049727231264114
Iteration 84: New best loss = 0.05695609003305435
Iteration 85: New best loss = 0.056031059473752975
Iteration 86: New best loss = 0.05418457090854645
Iteration 87: New best loss = 0.05261798948049545
Iteration 88: New best loss = 0.05128348246216774
Iteration 89: New best loss = 0.050181031227111816
Iteration 90: New best loss = 0.04931064695119858
Iteration 91: New best loss = 0.048543572425842285
Iteration 92: New best loss = 0.04740974307060242
Iteration 93: New best loss = 0.0464702807366848
Iteration 94: New best loss = 0.04572516307234764
Iteration 95: New best loss = 0.04422425851225853
Iteration 96: New best loss = 0.04276411235332489
Iteration 97: New best loss = 0.04154125228524208
Iteration 98: New best loss = 0.04051276296377182
Iteration 99: New best loss = 0.039678629487752914
Iteration 100: New best loss = 0.039038848131895065
Iteration 100: Best current loss = 0.039038848131895065
Search completed after 100 iterations.
Best loss found: 0.039038848131895065
Total training time: 43.5239 seconds

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (32, 16) ---

Iteration 2: New best loss = 0.5593963265419006
Iteration 3: New best loss = 0.5269795060157776
Iteration 4: New best loss = 0.49168461561203003
Iteration 5: New best loss = 0.46718016266822815
Iteration 6: New best loss = 0.43172281980514526
Iteration 7: New best loss = 0.40648865699768066
Iteration 8: New best loss = 0.3795110285282135
Iteration 9: New best loss = 0.353547066450119
Iteration 10: New best loss = 0.33504924178123474
Iteration 11: New best loss = 0.308355450630188
Iteration 12: New best loss = 0.2924520969390869
Iteration 13: New best loss = 0.2709137797355652
Iteration 14: New best loss = 0.25428062677383423
Iteration 15: New best loss = 0.24122211337089539
Iteration 16: New best loss = 0.22385910153388977
Iteration 17: New best loss = 0.21682249009609222
Iteration 18: New best loss = 0.20596973598003387
Iteration 19: New best loss = 0.1933533102273941
Iteration 20: New best loss = 0.19036124646663666
Iteration 21: New best loss = 0.18747073411941528
Iteration 22: New best loss = 0.18450544774532318
Iteration 23: New best loss = 0.17658616602420807
Iteration 24: New best loss = 0.1697847992181778
Iteration 25: New best loss = 0.16737991571426392
Iteration 26: New best loss = 0.16516943275928497
Iteration 27: New best loss = 0.16256381571292877
Iteration 28: New best loss = 0.1600111424922943
Iteration 29: New best loss = 0.15743808448314667
Iteration 30: New best loss = 0.1547338366508484
Iteration 31: New best loss = 0.15186594426631927
Iteration 32: New best loss = 0.1491660475730896
Iteration 33: New best loss = 0.14663416147232056
Iteration 34: New best loss = 0.14427027106285095
Iteration 35: New best loss = 0.142065167427063
Iteration 36: New best loss = 0.13857737183570862
Iteration 37: New best loss = 0.13610969483852386
Iteration 38: New best loss = 0.13348378241062164
Iteration 39: New best loss = 0.13092881441116333
Iteration 40: New best loss = 0.12857110798358917
Iteration 41: New best loss = 0.1264106184244156
Iteration 42: New best loss = 0.12444736808538437
Iteration 43: New best loss = 0.12259320169687271
Iteration 44: New best loss = 0.11867234110832214
Iteration 45: New best loss = 0.11665571480989456
Iteration 46: New best loss = 0.11494508385658264
Iteration 47: New best loss = 0.11307770013809204
Iteration 48: New best loss = 0.11096752434968948
Iteration 49: New best loss = 0.10913388431072235
Iteration 50: New best loss = 0.10755432397127151
Iteration 51: New best loss = 0.10603877902030945
Iteration 52: New best loss = 0.1045493334531784
Iteration 53: New best loss = 0.10306985676288605
Iteration 54: New best loss = 0.10185609012842178
Iteration 55: New best loss = 0.10036270320415497
Iteration 56: New best loss = 0.09897897392511368
Iteration 57: New best loss = 0.0978609248995781
Iteration 58: New best loss = 0.09621341526508331
Iteration 59: New best loss = 0.09383484721183777
Iteration 60: New best loss = 0.09232625365257263
Iteration 61: New best loss = 0.09090498089790344
Iteration 62: New best loss = 0.08963070809841156
Iteration 63: New best loss = 0.08812971413135529
Iteration 64: New best loss = 0.08580396324396133
Iteration 65: New best loss = 0.08419592678546906
Iteration 66: New best loss = 0.08274980634450912
